Date,Open,High,Low,Close,Adj Close,Volume
2016-04-26,74.419998,74.419998,74.419998,74.419998,56.664158,0
2016-04-27,74.750000,74.750000,74.750000,74.750000,56.915424,0
2016-04-28,73.769997,73.769997,73.769997,73.769997,56.169243,0
2016-04-29,73.290001,73.290001,73.290001,73.290001,55.803772,0
2016-05-02,73.870003,73.870003,73.870003,73.870003,56.245384,0
2016-05-03,73.199997,73.199997,73.199997,73.199997,55.735237,0
2016-05-04,72.669998,72.669998,72.669998,72.669998,55.331692,0
2016-05-05,72.540001,72.540001,72.540001,72.540001,55.232712,0
2016-05-06,72.790001,72.790001,72.790001,72.790001,55.423065,0
2016-05-09,73.000000,73.000000,73.000000,73.000000,55.582958,0
2016-05-10,73.849998,73.849998,73.849998,73.849998,56.230156,0
2016-05-11,73.110001,73.110001,73.110001,73.110001,55.666718,0
2016-05-12,73.059998,73.059998,73.059998,73.059998,55.628643,0
2016-05-13,72.540001,72.540001,72.540001,72.540001,55.232712,0
2016-05-16,73.250000,73.250000,73.250000,73.250000,55.773312,0
2016-05-17,72.779999,72.779999,72.779999,72.779999,55.415451,0
2016-05-18,72.760002,72.760002,72.760002,72.760002,55.400223,0
2016-05-19,72.510002,72.510002,72.510002,72.510002,55.209869,0
2016-05-20,73.510002,73.510002,73.510002,73.510002,55.971283,0
2016-05-23,73.300003,73.300003,73.300003,73.300003,55.811386,0
2016-05-24,74.410004,74.410004,74.410004,74.410004,56.656548,0
2016-05-25,74.690002,74.690002,74.690002,74.690002,56.869743,0
2016-05-26,74.669998,74.669998,74.669998,74.669998,56.854511,0
2016-05-27,75.199997,75.199997,75.199997,75.199997,57.258060,0
2016-05-31,75.220001,75.220001,75.220001,75.220001,57.273296,0
2016-06-01,75.349998,75.349998,75.349998,75.349998,57.372272,0
2016-06-02,75.860001,75.860001,75.860001,75.860001,57.760593,0
2016-06-03,75.449997,75.449997,75.449997,75.449997,57.448414,0
2016-06-06,75.800003,75.800003,75.800003,75.800003,57.714905,0
2016-06-07,75.940002,75.940002,75.940002,75.940002,57.821503,0
2016-06-08,76.209999,76.209999,76.209999,76.209999,58.027084,0
2016-06-09,75.970001,75.970001,75.970001,75.970001,57.844345,0
2016-06-10,74.879997,74.879997,74.879997,74.879997,57.014408,0
2016-06-13,74.209999,74.209999,74.209999,74.209999,56.504261,0
2016-06-14,74.010002,74.010002,74.010002,74.010002,56.351982,0
2016-06-15,74.050003,74.050003,74.050003,74.050003,56.382439,0
2016-06-16,74.059998,74.059998,74.059998,74.059998,56.390049,0
2016-06-17,73.900002,73.900002,73.900002,73.900002,56.268223,0
2016-06-20,74.750000,74.750000,74.750000,74.750000,56.915424,0
2016-06-21,74.680000,74.680000,74.680000,74.680000,56.862129,0
2016-06-22,74.570000,74.570000,74.570000,74.570000,56.778370,0
2016-06-23,75.629997,75.629997,75.629997,75.629997,57.585468,0
2016-06-24,72.599998,72.599998,72.599998,72.599998,55.278393,0
2016-06-27,70.650002,70.650002,70.650002,70.650002,53.793644,0
2016-06-28,72.110001,72.110001,72.110001,72.110001,54.905300,0
2016-06-29,73.410004,73.410004,73.410004,73.410004,55.895142,0
2016-06-30,74.430000,74.430000,74.430000,74.430000,56.671776,0
2016-07-01,74.699997,74.699997,74.699997,74.699997,56.877350,0
2016-07-05,73.980003,73.980003,73.980003,73.980003,56.329144,0
2016-07-06,74.449997,74.449997,74.449997,74.449997,56.686996,0
2016-07-07,74.769997,74.769997,74.769997,74.769997,56.930649,0
2016-07-08,76.150002,76.150002,76.150002,76.150002,57.981396,0
2016-07-11,76.459999,76.459999,76.459999,76.459999,58.217434,0
2016-07-12,76.989998,76.989998,76.989998,76.989998,58.620983,0
2016-07-13,76.790001,76.790001,76.790001,76.790001,58.468700,0
2016-07-14,77.000000,77.000000,77.000000,77.000000,58.628601,0
2016-07-15,76.790001,76.790001,76.790001,76.790001,58.468700,0
2016-07-18,76.879997,76.879997,76.879997,76.879997,58.537231,0
2016-07-19,76.839996,76.839996,76.839996,76.839996,58.506767,0
2016-07-20,77.480003,77.480003,77.480003,77.480003,58.994080,0
2016-07-21,77.220001,77.220001,77.220001,77.220001,58.796108,0
2016-07-22,77.650002,77.650002,77.650002,77.650002,59.123520,0
2016-07-25,77.470001,77.470001,77.470001,77.470001,58.986465,0
2016-07-26,78.010002,78.010002,78.010002,78.010002,59.397621,0
2016-07-27,77.750000,77.750000,77.750000,77.750000,59.199661,0
2016-07-28,78.050003,78.050003,78.050003,78.050003,59.428074,0
2016-07-29,78.199997,78.199997,78.199997,78.199997,59.542286,0
2016-08-01,77.959999,77.959999,77.959999,77.959999,59.359550,0
2016-08-02,77.150002,77.150002,77.150002,77.150002,58.742809,0
2016-08-03,77.330002,77.330002,77.330002,77.330002,58.879868,0
2016-08-04,77.559998,77.559998,77.559998,77.559998,59.054993,0
2016-08-05,78.139999,78.139999,78.139999,78.139999,59.496609,0
2016-08-08,77.849998,77.849998,77.849998,77.849998,59.275791,0
2016-08-09,77.769997,77.769997,77.769997,77.769997,59.214882,0
2016-08-10,77.669998,77.669998,77.669998,77.669998,59.138744,0
2016-08-11,78.080002,78.080002,78.080002,78.080002,59.450924,0
2016-08-12,77.870003,77.870003,77.870003,77.870003,59.291023,0
2016-08-15,78.290001,78.290001,78.290001,78.290001,59.610813,0
2016-08-16,77.610001,77.610001,77.610001,77.610001,59.093067,0
2016-08-17,77.599998,77.599998,77.599998,77.599998,59.085445,0
2016-08-18,77.900002,77.900002,77.900002,77.900002,59.313869,0
2016-08-19,78.059998,78.059998,78.059998,78.059998,59.435692,0
2016-08-22,78.129997,78.129997,78.129997,78.129997,59.488987,0
2016-08-23,78.449997,78.449997,78.449997,78.449997,59.732639,0
2016-08-24,77.879997,77.879997,77.879997,77.879997,59.298641,0
2016-08-25,77.699997,77.699997,77.699997,77.699997,59.161587,0
2016-08-26,77.680000,77.680000,77.680000,77.680000,59.146362,0
2016-08-29,78.040001,78.040001,78.040001,78.040001,59.420467,0
2016-08-30,77.870003,77.870003,77.870003,77.870003,59.291023,0
2016-08-31,77.669998,77.669998,77.669998,77.669998,59.138744,0
2016-09-01,77.870003,77.870003,77.870003,77.870003,59.291023,0
2016-09-02,78.269997,78.269997,78.269997,78.269997,59.595581,0
2016-09-06,78.169998,78.169998,78.169998,78.169998,59.519440,0
2016-09-07,78.209999,78.209999,78.209999,78.209999,59.549904,0
2016-09-08,77.900002,77.900002,77.900002,77.900002,59.313869,0
2016-09-09,76.010002,76.010002,76.010002,76.010002,57.874802,0
2016-09-12,77.110001,77.110001,77.110001,77.110001,58.712357,0
2016-09-13,76.059998,76.059998,76.059998,76.059998,57.912868,0
2016-09-14,75.910004,75.910004,75.910004,75.910004,57.798668,0
2016-09-15,76.760002,76.760002,76.760002,76.760002,58.445866,0
2016-09-16,76.290001,76.290001,76.290001,76.290001,58.088001,0
2016-09-19,76.559998,76.559998,76.559998,76.559998,58.293575,0
2016-09-20,76.470001,76.470001,76.470001,76.470001,58.225052,0
2016-09-21,77.230003,77.230003,77.230003,77.230003,58.803726,0
2016-09-22,77.790001,77.790001,77.790001,77.790001,59.230106,0
2016-09-23,77.190002,77.190002,77.190002,77.190002,58.773273,0
2016-09-26,76.660004,76.660004,76.660004,76.660004,58.369724,0
2016-09-27,77.059998,77.059998,77.059998,77.059998,58.674282,0
2016-09-28,77.360001,77.360001,77.360001,77.360001,58.902706,0
2016-09-29,76.860001,76.860001,76.860001,76.860001,58.522007,0
2016-09-30,77.570000,77.570000,77.570000,77.570000,59.062611,0
2016-10-03,77.389999,77.389999,77.389999,77.389999,58.925552,0
2016-10-04,76.919998,76.919998,76.919998,76.919998,58.567684,0
2016-10-05,77.230003,77.230003,77.230003,77.230003,58.803726,0
2016-10-06,77.120003,77.120003,77.120003,77.120003,58.719975,0
2016-10-07,76.599998,76.599998,76.599998,76.599998,58.324036,0
2016-10-10,76.879997,76.879997,76.879997,76.879997,58.537231,0
2016-10-11,75.559998,75.559998,75.559998,75.559998,57.532169,0
2016-10-12,75.650002,75.650002,75.650002,75.650002,57.600697,0
2016-10-13,75.370003,75.370003,75.370003,75.370003,57.387505,0
2016-10-14,75.339996,75.339996,75.339996,75.339996,57.364662,0
2016-10-17,75.089996,75.089996,75.089996,75.089996,57.174305,0
2016-10-18,75.599998,75.599998,75.599998,75.599998,57.562630,0
2016-10-19,75.720001,75.720001,75.720001,75.720001,57.653996,0
2016-10-20,75.529999,75.529999,75.529999,75.529999,57.509331,0
2016-10-21,75.589996,75.589996,75.589996,75.589996,57.555012,0
2016-10-24,76.010002,76.010002,76.010002,76.010002,57.874802,0
2016-10-25,75.230003,75.230003,75.230003,75.230003,57.280907,0
2016-10-26,74.970001,74.970001,74.970001,74.970001,57.082939,0
2016-10-27,74.089996,74.089996,74.089996,74.089996,56.412891,0
2016-10-28,74.440002,74.440002,74.440002,74.440002,56.679390,0
2016-10-31,74.730003,74.730003,74.730003,74.730003,56.900200,0
2016-11-01,74.330002,74.330002,74.330002,74.330002,56.595634,0
2016-11-02,73.980003,73.980003,73.980003,73.980003,56.329144,0
2016-11-03,73.769997,73.769997,73.769997,73.769997,56.169243,0
2016-11-04,73.879997,73.879997,73.879997,73.879997,56.253002,0
2016-11-07,75.370003,75.370003,75.370003,75.370003,57.387505,0
2016-11-08,75.690002,75.690002,75.690002,75.690002,57.631161,0
2016-11-09,76.239998,76.239998,76.239998,76.239998,58.049927,0
2016-11-10,76.519997,76.519997,76.519997,76.519997,58.263119,0
2016-11-11,76.570000,76.570000,76.570000,76.570000,58.301193,0
2016-11-14,77.059998,77.059998,77.059998,77.059998,58.674282,0
2016-11-15,77.610001,77.610001,77.610001,77.610001,59.093067,0
2016-11-16,77.629997,77.629997,77.629997,77.629997,59.108288,0
2016-11-17,78.209999,78.209999,78.209999,78.209999,59.549904,0
2016-11-18,77.930000,77.930000,77.930000,77.930000,59.336712,0
2016-11-21,78.339996,78.339996,78.339996,78.339996,59.648884,0
2016-11-22,78.580002,78.580002,78.580002,78.580002,59.831631,0
2016-11-23,78.959999,78.959999,78.959999,78.959999,60.120964,0
2016-11-25,79.209999,79.209999,79.209999,79.209999,60.311325,0
2016-11-28,78.540001,78.540001,78.540001,78.540001,59.801174,0
2016-11-29,78.690002,78.690002,78.690002,78.690002,59.915386,0
2016-11-30,77.989998,77.989998,77.989998,77.989998,59.382389,0
2016-12-01,77.239998,77.239998,77.239998,77.239998,58.811340,0
2016-12-02,77.459999,77.459999,77.459999,77.459999,58.978851,0
2016-12-05,78.139999,78.139999,78.139999,78.139999,59.496609,0
2016-12-06,78.599998,78.599998,78.599998,78.599998,59.846851,0
2016-12-07,79.250000,79.250000,79.250000,79.250000,60.341778,0
2016-12-08,79.559998,79.559998,79.559998,79.559998,60.577812,0
2016-12-09,79.669998,79.669998,79.669998,79.669998,60.661568,0
2016-12-12,79.180000,79.180000,79.180000,79.180000,60.288475,0
